"","from","to","sig"
"1","covid","response",499.973707523197
"2","covid","recovery",270.236844133586
"3","covid","crisis",207.939417087473
"4","covid","lockdown",195.630500185303
"5","covid","period",157.611742445268
"6","covid","app",102.770115868188
"7","covid","country",101.818601676263
"8","covid","government",95.6767508443445
"9","covid","economic",91.1655048048124
"10","covid","hit",90.7045723097399
"11","covid","business",88.7526473784819
"12","covid","world",74.8771326951683
"13","covid","border",74.7702616397291
"14","covid","people",74.4357787752524
"15","covid","impact",73.1010178104043
"16","covid","government's",63.2122471109033
"17","covid","zealand",58.7958793221042
"18","covid","job",55.7880542743951
"19","covid","economy",53.8005470726639
"20","covid","budget",53.7706055883318
"21","response","climate_change",523.077908939682
"31","response","covid",499.973707523197
"41","response","economic",417.729365044273
"51","response","government's",356.283961514011
"61","response","health_response",326.784222733229
"71","response","amendment_bill",184.05269303266
"81","response","auction",163.03274609521
"91","response","government",151.698738340288
"101","response","recovery",128.597845064476
"111","response","emergency",111.050788724795
"121","response","pandemic",110.882140212692
"131","response","minister's",104.897271724418
"141","response","respond",96.8904344122857
"151","response","carbon",95.6580285225064
"161","response","crisis",90.6511132596061
"171","response","price",86.4014572398737
"181","response","minister",84.2280239965767
"191","response","strong",78.712962443009
"201","response","question",78.443478660658
"22","recovery","fast-track",333.890540405177
"32","recovery","covid",270.236844133586
"42","recovery","consent",197.00654454343
"52","recovery","package",130.553772557527
"62","recovery","response",128.597845064476
"72","recovery","accelerate",128.454789735377
"82","recovery","support",123.935940143652
"92","recovery","budget",123.796845374629
"102","recovery","rebuild",116.325163618661
"112","recovery","economic",111.774872164242
"122","recovery","timber",107.947937080637
"132","recovery","cost",98.8554585520178
"142","recovery","phase",86.6388466125354
"152","recovery","adverse",85.7575520910323
"162","recovery","regeneration",82.106929580681
"172","recovery","business",77.6827518260106
"182","recovery","covid-19_response",77.0785531131551
"192","recovery","fund",76.6092134676874
"202","recovery","economy",71.9843230210245
"23","crisis","house",251.221967246383
"33","crisis","climate",242.91104200203
"43","crisis","face",241.089027349837
"53","crisis","government",209.651803144254
"63","crisis","covid",207.939417087473
"73","crisis","time",152.995253223926
"83","crisis","covid-19",151.665991455317
"93","crisis","country",128.038881272078
"103","crisis","middle",102.163404353894
"113","crisis","health",96.2373657878488
"123","crisis","global",91.4112797500566
"133","crisis","response",90.6511132596061
"143","crisis","zealander",83.6557516818866
"153","crisis","economy",74.207787883468
"163","crisis","world",71.5972979525104
"173","crisis","budget",70.7405574535951
"183","crisis","bad",57.5715415524319
"193","crisis","management",55.8376050842926
"203","crisis","respond",54.1796356821433
"24","lockdown","period",270.850519921631
"34","lockdown","covid-19",203.934065815061
"44","lockdown","covid",195.630500185303
"54","lockdown","business",158.095099491999
"64","lockdown","week",128.757610178553
"74","lockdown","time",97.6956078242511
"84","lockdown","day",75.6237040525302
"94","lockdown","wage_subsidy",75.5640363674611
"104","lockdown","essential",70.8197988243774
"114","lockdown","zoom",68.3264962853864
"124","lockdown","lose",66.1305577093735
"134","lockdown","country",64.1945526171476
"144","lockdown","work",59.6210324810818
"154","lockdown","cancer",58.1838238220662
"164","lockdown","alert_level",57.8897450743243
"174","lockdown","zealander",55.4720673142001
"184","lockdown","worker",50.5246567707509
"194","lockdown","virus",47.5737836286426
"204","lockdown","back",45.5778285358101
"25","period","short",553.791071031243
"35","period","long",426.457611164078
"45","period","lockdown",270.850519921631
"55","period","extend",184.763889417984
"65","period","year",183.693058776669
"75","period","report-back",177.737012769096
"85","period","shorten",177.613208259456
"95","period","month",164.967083845288
"105","period","covid",157.611742445268
"115","period","transition",134.614398424514
"125","period","grace",128.812618868425
"135","period","election",74.4717695275322
"145","period","covid-19",70.6470219418406
"155","period","10-year",69.6093977270648
"165","period","brightline",69.3554918784648
"175","period","six-month",64.0540905864909
"185","period","day",61.1011607749388
"195","period","prior",57.3956820070744
"205","period","select_committee",56.9741118010134
"26","app","code",91.9303113063797
"36","app","trace",80.0385106988251
"46","app","contact_trace",79.529753241688
"56","app","contact",62.1537567256019
"66","app","nz",44.5723015982658
"76","app","information",32.4317345675081
"86","app","health",26.4435074701905
"96","app","outbreak",24.6580314710736
"106","app","display",24.121277612634
"116","app","visitor",22.784119233489
"126","app","generate",21.539618329145
"136","app","station",21.438513067551
"146","app","mandatory",20.180209566839
"156","app","coronavirus",19.6397950164974
"166","app","covid-19",19.5869886223227
"176","app","sign",18.5418745456263
"186","app","zealander",17.2753537548706
"196","app","government's",16.9703299598768
"206","app","copyright",16.154290581122
"27","country","people",443.964822048321
"37","country","zealand",426.75870882161
"47","country","face",296.610723727383
"57","country","high",225.826644440182
"67","country","live",215.644038936123
"77","country","economic",181.78951478377
"87","country","economy",181.35320166219
"97","country","bill",175.345805481076
"107","country","zealander",167.401531646959
"117","country","export",159.634630749002
"127","country","challenge",159.214274501428
"137","country","travel",150.102442854084
"147","country","covid-19",144.346187692136
"157","country","good",144.283207580447
"167","country","rest",140.276329785585
"177","country","australia",139.499006926082
"187","country","oecd",139.0190857118
"197","country","community",131.272946665064
"207","country","crisis",128.038881272078
"28","government","zealander",503.974936289713
"38","government","central",487.16817086935
"48","government","year",437.184575907886
"58","government","agency",401.649776474573
"68","government","spend",399.508879567496
"78","government","policy",375.318330073729
"88","government","labour-led",359.66239103768
"98","government","priority",346.857908106409
"108","government","opposition",336.65608953964
"118","government","put",313.910599786788
"128","government","promise",310.404467276298
"138","government","zealand",309.40152876731
"148","government","wellbeing",295.58042395208
"158","government","business",294.973437053151
"168","government","national-led",293.57661065273
"178","government","make",291.148140220903
"188","government","fail",276.080516824499
"198","government","work",271.255596803501
"208","government","budget",270.899340059608
"29","economic","impact",485.653915313073
"39","economic","response",417.729365044273
"49","economic","growth",395.423400038853
"59","economic","crisis",393.780984112993
"69","economic","economy",280.667486178689
"79","economic","cultural",278.834290287457
"89","economic","health_response",259.991132744588
"99","economic","covid-19",252.602455029264
"109","economic","environmental",249.510490497574
"119","economic","downturn",237.744704062119
"129","economic","wellbeing",201.096568806097
"139","economic","country",181.78951478377
"149","economic","strong",179.77552515734
"159","economic","fiscal",166.156195045449
"169","economic","budget",159.932121445425
"179","economic","face",146.08954467345
"189","economic","activity",141.789850092493
"199","economic","prosperity",135.126253136434
"209","economic","job",121.131824887358
"210","hit","covid",90.7045723097399
"310","hit","road",68.6407169280574
"410","hit","grind",52.2148286215961
"510","hit","covid-19",39.6766198370606
"610","hit","pandemic",39.4652446266264
"710","hit","pacific",34.2972048996016
"810","hit","shore",32.3485573399812
"910","hit","sudden",27.4490698780864
"1010","hit","economic",25.4891548957676
"1110","hit","object",25.4497365923598
"1210","hit","earthquake",24.6644257521257
"1310","hit","kill",24.3324769483879
"1410","hit","tonne",22.6001883232966
"1510","hit","coronavirus",22.5801301691681
"1610","hit","crisis",22.1932957787067
"1710","hit","coast",21.8652531933039
"1810","hit","southern",21.0139592206106
"1910","hit","run",20.4145703054965
"2010","hit","death",20.2555222399533
"211","business","small_business",497.038407177664
"311","business","innovation",439.853753798641
"411","business","job",436.76793524716
"511","business","employee",374.933454441838
"611","business","cost",371.264074004255
"711","business","employ",347.874527665786
"811","business","employment",343.639650926925
"911","business","tourism",337.858720304444
"1011","business","owner",330.381794414483
"1111","business","people",327.514018436894
"1211","business","worker",318.381941661239
"1311","business","survive",314.332292932086
"1411","business","government",294.973437053151
"1511","business","support",293.410739906132
"1611","business","zealand",292.246143164113
"1711","business","scheme",262.287080131471
"1811","business","economy",256.082162440754
"1911","business","usual",253.62092731148
"2011","business","confidence",251.408053102903
"212","world","organization",535.340243685059
"312","world","zealand",529.297916750424
"412","world","cup",400.559885891154
"512","world","rest",347.511714677326
"612","world","rugby",319.989023994654
"712","world","war",308.046640067361
"812","world","trade",254.916781561449
"912","world","nation",213.147891554981
"1012","world","economy",173.79828809388
"1112","world","leader",169.750000557862
"1212","world","good",164.713166962378
"1312","world","global",161.712461784482
"1412","world","live",141.791675115936
"1512","world","bill",127.832195778377
"1612","world","food",123.586292814463
"1712","world","emission",117.819073873572
"1812","world","lead",113.013222129084
"1912","world","ii",107.578828752041
"2012","world","covid-19",106.050668640994
"213","border","open",322.871488471515
"313","border","quarantine",274.739875558764
"413","border","test",218.212202042341
"513","border","covid-19",170.08009847533
"613","border","safe",143.897726468742
"713","border","manage_isolation",140.433968454599
