"","from","to","sig"
"1","covid","recovery",40.9775164488819
"2","covid","impact",23.8466480865609
"3","covid","economic_recovery",15.0505166785442
"4","covid","plan",14.1640683342703
"5","covid","border",13.3380832937546
"6","covid","case",12.470556805958
"7","covid","remain",12.0010207693558
"8","covid","part",10.3364754673094
"9","covid","fund",9.21155884338077
"10","covid","rebuild",9.09355726221111
"11","covid","priority",8.52829619153636
"12","covid","job",8.39740569295827
"13","covid","recover",8.29333044076338
"14","covid","gdp",7.62901391519699
"15","covid","underway",7.40879576193402
"16","covid","debt",7.29263603291474
"17","covid","move",7.29197519284207
"18","covid","due",7.19806161097949
"19","covid","core",7.09635813132627
"20","covid","response",6.27354412717978
"21","recovery","support",117.075777359656
"31","recovery","tourism",76.5816685938626
"41","recovery","plan",73.7078227394377
"51","recovery","rebuild",70.7143315951689
"61","recovery","waste",69.2300289174891
"71","recovery","package",58.5139750739909
"81","recovery","recycle",55.6206290064729
"91","recovery","response",41.458805478178
"101","recovery","covid",40.9775164488819
"111","recovery","resource",40.0697311118711
"121","recovery","business",39.9844669655431
"131","recovery","position",38.7982674349332
"141","recovery","fund",37.1920735207968
"151","recovery","assistance",35.8740871492773
"161","recovery","economy",33.8767857957864
"171","recovery","drought",33.8326681738254
"181","recovery","effort",32.777640722692
"191","recovery","advice",30.8832434563083
"201","recovery","material",30.7513096079929
"22","impact","recover",119.954902366153
"32","impact","climate_change",83.7889711115276
"42","impact","business",58.2498242213042
"52","impact","economy",53.7619082107558
"62","impact","global",47.763145219069
"72","impact","respond",46.1034762827912
"82","impact","reduce",44.2613110142993
"92","impact","due",42.8416707066935
"102","impact","measure",41.3372440578532
"112","impact","covid-19_pandemic",35.811615005834
"122","impact","manage",31.8317889075261
"132","impact","sector",30.7158032489824
"142","impact","support",30.6501263515675
"152","impact","significant",27.8359684093739
"162","impact","assess",27.0708149113925
"172","impact","worker",25.4036611443735
"182","impact","positive",24.8587475418462
"192","impact","market",24.5726204506936
"202","impact","package",24.3124276228482
"23","economic_recovery","role",56.905094150221
"33","economic_recovery","covid-19",55.8236787857604
"43","economic_recovery","accelerate",49.1271358529921
"53","economic_recovery","support",44.6333609248977
"63","economic_recovery","critical",44.193093806156
"73","economic_recovery","create_job",35.6365391315194
"83","economic_recovery","drive",34.3613240964478
"93","economic_recovery","job",25.8374072043807
"103","economic_recovery","project",24.0014298729948
"113","economic_recovery","region",21.9654171361472
"123","economic_recovery","infrastructure",20.7197561341454
"133","economic_recovery","boost",17.6715347873978
"143","economic_recovery","grower",17.2361548895715
"153","economic_recovery","underway",16.0890631912043
"163","economic_recovery","covid",15.0505166785442
"173","economic_recovery","plan",14.9667935491889
"183","economic_recovery","covid_response",14.4980199477286
"193","economic_recovery","crucial",14.3925897097797
"203","economic_recovery","farmer",14.1249397299835
"24","plan","management",67.0835790066049
"34","plan","include",49.6686649173498
"44","plan","part",45.2479423857294
"54","plan","infrastructure",44.6168508257251
"64","plan","develop",43.5102494964958
"74","plan","freshwater",42.4546754719922
"84","plan","national",39.9907355103642
"94","plan","focus",31.8952289512381
"104","plan","place",31.754621890781
"114","plan","investment",28.8469240135164
"124","plan","underway",28.3770015094779
"134","plan","comprehensive",27.8193215444335
"144","plan","reduce",27.7668593300041
"154","plan","farm",27.6436897732783
"164","plan","implement",27.3659164269338
"174","plan","accelerate",25.3904894877924
"184","plan","environment",24.3968528080732
"194","plan","rebuild",23.906814963324
"204","plan","key",23.1534296880127
"25","border","covid-19",68.9927370235091
"35","border","quarantine",66.914064419514
"45","border","custom",55.8676119737793
"55","border","close",55.7521719690412
"65","border","setting",49.0978303391603
"75","border","immigration",48.2237220412935
"85","border","test",47.334677349194
"95","border","country",44.9871681382647
"105","border","manage_isolation",43.6552973333746
"115","border","overseas",37.5402951554861
"125","border","resident",35.906265845173
"135","border","international",35.1986275222152
"145","border","arrive",33.9619085109443
"155","border","enter",33.7596233947552
"165","border","protect",32.4469295896124
"175","border","measure",25.7041850297828
"185","border","stop",24.9615839421749
"195","border","temporary",24.7628131936654
"205","border","fund",24.1050442806445
"26","case","day",46.3721808383707
"36","case","court",45.781972655037
"46","case","test",44.8742980663665
"56","case","confirm",41.7184285354451
"66","case","identify",37.4231552055571
"76","case","remain",36.0368971140124
"86","case","outbreak",34.3732552680885
"96","case","restriction",28.0043021848542
"106","case","contact_trace",23.8395343289594
"116","case","transmission",21.8627677329932
"126","case","contact",21.5386208965792
"136","case","review",20.1454448439181
"146","case","source",19.9756216441747
"156","case","country",19.2513967951527
"166","case","response",18.7913250491838
"176","case","justice",18.1914973657695
"186","case","travel",18.0338901700452
"196","case","hear",18.0260646112729
"206","case","emerge",17.72567565192
"27","remain","open",51.9414027608
"37","remain","priority",40.9291548241745
"47","remain","ensure",36.7556062841322
"57","remain","case",36.0368971140124
"67","remain","continue",30.9388154837652
"77","remain","low",28.1804060306749
"87","remain","restriction",26.1503936425433
"97","remain","trade",25.2259301384329
"107","remain","percent",22.1368601590511
"117","remain","lose",21.3078464597347
"127","remain","facilitate",20.2686873627827
"137","remain","essential",19.1813004846917
"147","remain","line",19.0515683097183
"157","remain","rate",18.719437624095
"167","remain","leave",18.3814200414927
"177","remain","flow",17.8267998788506
"187","remain","cent",17.5985097372904
"197","remain","top",17.5966586284922
"207","remain","forecast",17.1153673583758
"28","part","fund",95.2779169999994
"38","part","package",93.989709503483
"48","part","play",84.4537326174323
"58","part","programme",78.3518311625812
"68","part","recovery_fund",74.7563257488073
"78","part","wide",71.8697850800818
"88","part","finance",68.8810737712774
"98","part","contract_negotiation",58.7953974336269
"108","part","july",56.9644819335663
"118","part","form",56.4836496416247
"128","part","investment",56.3077458564076
"138","part","project",55.2795465536183
"148","part","plan",45.2479423857294
"158","part","upgrade_programme",42.6780524449423
"168","part","said.the",40.2406468188274
"178","part","budget",40.1098714062828
"188","part","today",38.8642880273401
"198","part","set",35.5545083549223
"208","part","upgrade",32.686185742612
"29","fund","support",280.116540070565
"39","fund","budget",269.240535157325
"49","fund","provide",166.740638214746
"59","fund","allocate",166.201333622681
"69","fund","receive",160.983088959416
"79","fund","round",147.815118937404
"89","fund","investment",147.053151432949
"99","fund","recovery_fund",142.647958307818
"109","fund","boost",139.73179948976
"119","fund","initiative",122.594152760925
"129","fund","programme",117.077236446901
"139","fund","infrastructure",109.658677305677
"149","fund","community",106.301681731711
"159","fund","job",105.652694688761
"169","fund","provincial_growth_fund",102.222459118813
"179","fund","today",101.157626276778
"189","fund","regional",96.5803611982265
"199","fund","covid-19_response",96.3466675756499
"209","fund","part",95.2779169999994
"210","rebuild","pipeline",106.141550889879
"310","rebuild","recover",99.7370549028274
"410","rebuild","covid-19",87.234684877214
"510","rebuild","unlock",75.4462088418659
"610","rebuild","investment",74.6163124367013
"710","rebuild","recovery",70.7143315951689
"810","rebuild","establish",62.2900317470776
"910","rebuild","project",56.295270762872
"1010","rebuild","identify",56.0124443102395
"1110","rebuild","support",52.1616874471656
"1210","rebuild","job",46.8077619965188
"1310","rebuild","sector",42.3902988125919
"1410","rebuild","infrastructure",42.0716055338271
"1510","rebuild","create_job",35.2864384705317
"1610","rebuild","create",34.7020076866029
"1710","rebuild","invest",33.2746038300684
"1810","rebuild","pacific_people",29.1853986330098
"1910","rebuild","vital",28.4641678881599
"2010","rebuild","business",28.0772239567596
"211","priority","safety",43.346011391026
"311","priority","remain",40.9291548241745
"411","priority","group",35.1417454591719
"511","priority","health",30.7338245310821
"611","priority","government",29.4645644047996
"711","priority","wellbeing",26.3809616509825
"811","priority","high",18.2944161818596
"911","priority","area",18.0987091619754
"1011","priority","inform",16.8152951196535
"1111","priority","key",16.6046366989613
"1211","priority","partnership",14.9794755431358
"1311","priority","hear",13.060542990861
"1411","priority","human",12.9618574954802
"1511","priority","ensure",12.5393579603988
"1611","priority","covid-19",11.4762470390997
"1711","priority","action_plan",11.474074361322
"1811","priority","agree",11.1391634452739
"1911","priority","policy",10.3772960423375
"2011","priority","drive",9.87996522570029
"212","job","project",385.870767015032
"312","job","unlock",206.8155468232
"412","job","nature",196.843348196184
"512","job","construction",167.831047006475
"612","job","expect",131.679223366606
"712","job","worker",112.905391464301
"812","job","provide",112.382753707934
"912","job","local",109.712651618582
"1012","job","fund",105.652694688761
"1112","job","investment",103.224847603065
"1212","job","train",102.888415561814
"1312","job","lose",93.1532814734965
"1412","job","region",92.9687062598532
"1512","job","hundred",85.1254060768406
"1612","job","opportunity",84.0017973039066
"1712","job","business",70.2795341290184
"1812","job","environmental",70.0652747006388
"1912","job","package",67.5672211977653
"2012","job","deliver",66.3237147110631
"213","recover","impact",119.954902366153
"313","recover","rebuild",99.7370549028274
"413","recover","economy",74.262957886036
"513","recover","economic_impact",28.7861245718086
"613","recover","respond",27.4627511093859
"713","recover","covid-19_pandemic",25.8823973782128
"813","recover","market",24.7299968135194
"913","recover","drought",23.1134153943858
"1013","recover","create_job",22.655436222034
"1113","recover","material",21.3326747465762
"1213","recover","support",19.2511938545504
"1313","recover","effect",18.9376723148162
"1413","recover","important",17.3832126026973
"1513","recover","waste",16.9374299215851
"1613","recover","sector",16.0096604910796
"1713","recover","quarantine",15.4582801686483
"1813","recover","target",15.2774579313118
"1913","recover","invest",15.1646968944697
"2013","recover","deal",14.9749203226529
"214","gdp","forecast",73.0611654606764
"314","gdp","economy",52.8681273940601
"414","gdp","average",47.2938493039692
"514","gdp","low",42.4597100626561
"614","gdp","june",33.4458180465153
"714","gdp","show",33.0740885660634
"814","gdp","core",31.3344456948689
"914","gdp","advance",27.890965565457
"1014","gdp","fall",26.4829199954984
"1114","gdp","crown",23.9165021551307
"1214","gdp","today's",21.946192179108
"1314","gdp","compare",16.7832970184973
"1414","gdp","position",15.755834554031
"1514","gdp","gain",15.6426800531917
"1614","gdp","september",15.4533956435625
"1714","gdp","covid-19",14.2009318679338
"1814","gdp","employ",12.0456098542199
"1914","gdp","result",11.2704804282985
"2014","gdp","december",10.3184453828144
"215","underway","project",57.5630438184016
"315","underway","plan",28.3770015094779
"415","underway","construction",26.8547755181789
"515","underway","investment",20.3455510530621
"615","underway","end",19.4808735663537
"715","underway","initial",18.8945824952098
"815","underway","ministry",18.4780962204677
"915","underway","process",16.852221871377
"1015","underway","economic_recovery",16.0890631912043
"1115","underway","major",14.8549079427612
"1215","underway","school",14.6356833263417
"1315","underway","permanent",13.369391341228
"1415","underway","accelerate",13.2278241973254
"1515","underway","redevelopment",13.0950618967181
"1615","underway","development",13.0708335936069
"1715","underway","recommendation",12.8696490228176
"1815","underway","road",12.1709121650783
"1915","underway","bay",10.8425497838762
"2015","underway","site",10.6883509229519
"216","debt","low",151.670821253385
"316","debt","forecast",76.5098420411232
"416","debt","economy",75.5484529060195
"516","debt","position",66.1503456762875
"616","debt","advance",49.6425929099787
"716","debt","core",48.9702388605219
"816","debt","credit",35.8553461168776
"916","debt","problem",35.7588770356379
"1016","debt","balance",34.4167231577449
"1116","debt","compare",33.8720519592753
"1216","debt","world",30.3950790912495
"1316","debt","strong",28.1019583664602
"1416","debt","crown",27.6372667440446
"1516","debt","loan",26.1690485051367
"1616","debt","cost",25.2383691378054
"1716","debt","average",23.2226762241917
"1816","debt","finance",22.3010182077996
"1916","debt","responsible",20.5988571947673
"2016","debt","affair",19.7063860532944
"217","move","level",73.6090646334342
"317","move","forward",34.3076701005339
"417","move","economy",33.2226096372469
"517","move","virus",30.3876753793447
"617","move","country",29.5671116103185
"717","move","transport",26.1848207221483
"817","move","ahead",23.5219374465523
"917","move","freight",23.2966411660309
"1017","move","fast",22.6540808901191
"1117","move","back",22.5324903164874
"1217","move","quickly",20.0871435275767
"1317","move","rail",19.4596966293175
"1417","move","safe",19.2738800505758
"1517","move","follow",19.0388678005547
"1617","move","direction",18.9180427635438
"1717","move","day",18.0972472858848
"1817","move","auckland",16.2932566744275
"1917","move","good",16.0181024646736
"2017","move","restriction",15.935059843061
"218","due","lose",56.4763820392545
"318","due","temporary",53.9080278702313
"418","due","revenue",47.8957958277315
"518","due","impact",42.8416707066935
"618","due","visa",39.5594703441602
"718","due","lockdown",34.1283148694783
"818","due","covid-19_pandemic",32.9640874728211
"918","due","face",28.0492098763352
"1018","due","leave",25.8766232243506
"1118","due","overseas",22.6833976796479
"1218","due","change",19.7862538465415
"1318","due","effect",18.0515910885879
"1418","due","low",17.9872896545567
"1518","due","june",17.8310590581968
"1618","due","cost",17.1858227415942
"1718","due","fall",16.5070887075271
"1818","due","extend",15.9375747987651
"1918","due","china",15.245146933361
"2018","due","high",15.2180503703421
"219","core","forecast",62.4042496300535
"319","core","debt",48.9702388605219
"419","core","gdp",31.3344456948689
"519","core","low",29.1783176844474
"619","core","operate",24.6222790223546
"719","core","revenue",22.4385524942772
"819","core","public_service",15.2659884124296
"919","core","part",14.1785587811028
"1019","core","balance",13.4942097754101
"1119","core","asset",10.9759498157655
"1219","core","tax",10.4601280399365
"1319","core","gain",9.47154669987503
"1419","core","loss",9.00775210210122
"1519","core","economy",8.72538297646679
"1619","core","high",8.33183431637008
"1719","core","account",8.13948724104557
"1819","core","cost",8.07933657115791
"1919","core","household",7.98297419917071
"2019","core","covid-19",7.63552932214225
"220","response","support",73.8990099070361
"320","response","emergency",66.2326020033797
"420","response","economic",46.6840970019111
"520","response","package",44.6337739972514
"620","response","committee",41.6062857280485
"720","response","recovery",41.458805478178
"820","response","crisis",35.6322958294768
"920","response","outbreak",35.4551512324833
"1020","response","collective",30.4148498084396
"1120","response","require",29.6045230240561
"1220","response","pacific_community",28.5715694989776
"1320","response","pandemic",28.2574920809711
"1420","response","relief",24.9214548195596
"1520","response","assistance",24.3370235295733
"1620","response","project",24.0559828983969
"1720","response","power",23.3806756498525
"1820","response","health",22.1433184657944
"1920","response","implement",22.0035507584689
"2020","response","inquiry",21.4286240660585
