"","from","to","sig"
"1","covid","response",73.4715901859745
"2","covid","recovery",39.9109567100386
"3","covid","border",26.3226639202476
"4","covid","economic",23.3211902774638
"5","covid","ongoing",22.6143679986271
"6","covid","economy",16.0824680011719
"7","covid","level",15.8909658663179
"8","covid","virus",14.3408962795074
"9","covid","case",13.8886416601163
"10","covid","impact",13.7225753462262
"11","covid","part",12.3533451491385
"12","covid","position",12.2580788483028
"13","covid","open",11.8813691976393
"14","covid","risk",11.166586938285
"15","covid","job",10.9697002651665
"16","covid","interest",10.2862639875384
"17","covid","pandemic",10.1815986029833
"18","covid","today",9.92083702527452
"19","covid","maintain",9.86406297210488
"20","covid","stay",9.33539670950267
"21","response","covid-19",113.053742318254
"31","response","economic",89.4747576018854
"41","response","covid",73.4715901859745
"51","response","recovery",58.0923465125816
"61","response","government",47.5320212859369
"71","response","focus",43.354788002951
"81","response","early",35.3512849512772
"91","response","strong",34.7941743790871
"101","response","pandemic",33.5406989148614
"111","response","public",33.1631240925781
"121","response","support",29.5017353399453
"131","response","government's",27.0432872659439
"141","response","impact",25.9805613845965
"151","response","fund",24.3244414383225
"161","response","good",22.3389283166762
"171","response","ongoing",22.1433579030418
"181","response","plan",20.77671525802
"191","response","respond",18.5707707492256
"201","response","act",18.1284769392805
"22","recovery","covid-19",107.263590816641
"32","recovery","trade",77.1831122977746
"42","recovery","rebuild",66.5375736384885
"52","recovery","strategy",62.416004499144
"62","recovery","response",58.0923465125816
"72","recovery","support",47.483907232061
"82","recovery","covid",39.9109567100386
"92","recovery","position",38.0837428990781
"102","recovery","business",32.1963565211918
"112","recovery","economy",26.9580848788755
"122","recovery","fund",26.3703478901298
"132","recovery","plan",25.2512916888372
"142","recovery","job",24.5368114543671
"152","recovery","budget",24.4033721451851
"162","recovery","part",22.6811929886608
"172","recovery","respond",22.0291927343933
"182","recovery","package",22.0034349653142
"192","recovery","investment",19.1798699985811
"202","recovery","tourism",17.2138140934258
"23","border","control",48.8288538784836
"33","border","open",41.0085835970822
"43","border","manage",40.0552265920996
"53","border","case",37.9437341709563
"63","border","virus",34.8687233777018
"73","border","tourism",28.0577507126
"83","border","covid",26.3226639202476
"93","border","world",24.9803852726764
"103","border","zealander",21.8903086636565
"113","border","safe",21.2794418851845
"123","border","travel",19.1455619444168
"133","border","continue",18.1573301936587
"143","border","health",16.8817666913965
"153","border","remain",16.355125536531
"163","border","international",16.2960012684343
"173","border","key",15.199675634678
"183","border","facility",14.9143925004173
"193","border","return",14.4757486539602
"203","border","quickly",14.0695926779154
"24","economic","response",89.4747576018854
"34","economic","covid-19",88.3938397905004
"44","economic","impact",84.072184875331
"54","economic","trade",72.2655912006448
"64","economic","global",63.156985237074
"74","economic","economy",62.3850394013571
"84","economic","health",58.6865312302107
"94","economic","government's",52.8185968218459
"104","economic","business",49.8264860215859
"114","economic","social",48.1628944815748
"124","economic","growth",45.3691624405183
"134","economic","zealand",44.5209882828494
"144","economic","strong",44.3590075354732
"154","economic","activity",38.253199390645
"164","economic","sustainable",36.9586664893868
"174","economic","regional",33.9668712243874
"184","economic","government",32.1358192296466
"194","economic","respond",32.1291893985617
"204","economic","focus",31.7260544043529
"25","ongoing","response",22.1433579030418
"35","ongoing","recovery",12.6751423223177
"45","ongoing","risk",12.3896078746329
"55","ongoing","business",11.6466712210677
"65","ongoing","improve",10.6073054552835
"75","ongoing","work",9.71651445327734
"85","ongoing","commitment",9.34652376406302
"95","ongoing","affect",9.32148751615023
"105","ongoing","effect",9.11639292660402
"115","ongoing","control",8.82126680560759
"125","ongoing","global",8.6000921249215
"135","ongoing","develop",8.49501144277747
"145","ongoing","covid-19",8.48801222865586
"155","ongoing","march",8.27171373556484
"165","ongoing","impact",7.44636105804238
"175","ongoing","service",7.2413222148607
"185","ongoing","public",7.12934889254393
"195","ongoing","continue",7.08428314623598
"205","ongoing","key",7.06576065716217
"26","economy","economic",62.3850394013571
"36","economy","impact",58.4260765068902
"46","economy","open",49.8284641104256
"56","economy","strong",49.6783667350246
"66","economy","business",47.8001857075869
"76","economy","digital",45.270865313898
"86","economy","world",43.3283218715369
"96","economy","job",35.5176692122332
"106","economy","covid-19",30.8814802714769
"116","economy","zealand",30.2527349657466
"126","economy","position",29.4844129312551
"136","economy","growth",29.1243152850802
"146","economy","transition",28.9042230183986
"156","economy","recovery",26.9580848788755
"166","economy","zealand's",26.3893659983296
"176","economy","low",25.7405283655826
"186","economy","wellbeing",25.6754090356117
"196","economy","sign",23.2758625063434
"206","economy","back",22.5639778208861
"27","level","move",127.90304066168
"37","level","high",45.9126890788029
"47","level","stay",40.8193778792192
"57","level","remain",35.3076093815325
"67","level","lockdown",32.7745135209989
"77","level","week",21.8028976024361
"87","level","risk",20.3647471545992
"97","level","operate",16.6484351575054
"107","level","contact",16.2741295622254
"117","level","spread",16.1585915131436
"127","level","transmission",16.0715325664787
"137","level","covid",15.8909658663179
"147","level","covid-19",13.8693523764086
"157","level","cabinet",13.8378520080878
"167","level","open",13.2699903450557
"177","level","case",12.0285054474953
"187","level","give",11.7818461901916
"197","level","distance",10.9248118851683
"207","level","measure",10.8315095362486
"28","virus","fight",65.4939186079719
"38","virus","case",49.8894527117955
"48","virus","border",34.8687233777018
"58","virus","transmission",31.3042652177974
"68","virus","move",27.8209393636207
"78","virus","stop",27.7851258740411
"88","virus","control",27.497715210804
"98","virus","contact",25.2559626095463
"108","virus","economic",23.7950880403369
"118","virus","economy",21.5156751622126
"128","virus","impact",19.5833754128253
"138","virus","manage",17.5256540953851
"148","virus","health",17.3003269927867
"158","virus","early",17.1244609572168
"168","virus","country",17.0614154379
"178","virus","respond",16.8575630032574
"188","virus","thing",16.8509562258259
"198","virus","test",16.2216609074821
"208","virus","world",15.5118423874665
"29","case","trace",62.8308317017072
"39","case","day",59.9642987331026
"49","case","virus",49.8894527117955
"59","case","test",47.6283169977687
"69","case","transmission",42.03174663955
"79","case","border",37.9437341709563
"89","case","numb",34.4788508200727
"99","case","spread",28.0107793275383
"109","case","facility",26.953888202057
"119","case","manage",21.1792377389065
"129","case","identify",20.4299348878558
"139","case","community",18.711009034887
"149","case","world",18.2003617874871
"159","case","week",17.1490596800577
"169","case","measure",15.787841031095
"179","case","base",15.5190040923335
"189","case","close",15.3370085239294
"199","case","health",14.2605741958541
"209","case","covid",13.8886416601163
"210","impact","economic",84.072184875331
"310","impact","economy",58.4260765068902
"410","impact","global",53.8723597333301
"510","impact","growth",33.6470769992447
"610","impact","china",26.0241520289128
"710","impact","response",25.9805613845965
"810","impact","pandemic",25.1680538930232
"910","impact","support",24.7634142166935
"1010","impact","domestic",23.0815919862798
"1110","impact","significant",22.843012187237
"1210","impact","business",22.4514269636711
"1310","impact","prepare",21.744016042212
"1410","impact","term",20.9797149001679
"1510","impact","target",20.6483282272238
"1610","impact","respond",20.6217869522807
"1710","impact","virus",19.5833754128253
"1810","impact","income",18.6325620193529
"1910","impact","clear",18.2594367339043
"2010","impact","government's",16.8176998048148
"211","part","sector",26.4936585518153
"311","part","recovery",22.6811929886608
"411","part","critical",19.2868242094119
"511","part","support",15.8867165229603
"611","part","shift",15.2023806485231
"711","part","ensure",15.0881743344507
"811","part","initiative",13.9366950674594
"911","part","strategy",12.9379197544476
"1011","part","step",12.9379197544476
"1111","part","programme",12.7824380126258
"1211","part","government",12.753368833859
"1311","part","train",12.6387914256047
"1411","part","covid",12.3533451491385
"1511","part","provide",11.7001193464384
"1611","part","commit",11.633575627493
"1711","part","long",11.4370026154647
"1811","part","culture",11.3757775236882
"1911","part","expect",11.3332882788236
"2011","part","core",10.9134005362575
"212","position","recovery",38.0837428990781
"312","position","put",31.3406993761455
"412","position","economy",29.4844129312551
"512","position","economic",26.3444563842204
"612","position","invest",24.428982927755
"712","position","good",23.9699242575298
"812","position","continue",23.4637704038178
"912","position","zealand",23.3988360818621
"1012","position","business",22.3815343449969
"1112","position","country",18.5939025253901
"1212","position","global",18.4142416695686
"1312","position","trade",17.9959213427792
"1412","position","strategy",13.5120581633819
"1512","position","opportunity",13.491419131271
"1612","position","covid-19",13.4816505349154
"1712","position","impact",13.0525445928943
"1812","position","effort",12.6537171010568
"1912","position","support",12.5531751389935
"2012","position","covid",12.2580788483028
"213","open","border",41.0085835970822
"313","open","trade",19.9543582872866
"413","open","market",19.1775994341588
"513","open","facility",14.5316315603559
"613","open","free",14.2113518901169
"713","open","live",13.6737456718547
"813","open","level",13.2699903450557
"913","open","opportunity",12.979755551205
"1013","open","give",11.8815162488609
"1113","open","covid",11.8813691976393
"1213","open","school",10.8314966944017
"1313","open","world",10.3059063833207
"1413","open","week",9.31779839441879
"1513","open","prime",9.25042949503404
"1613","open","tourism",9.22218262609385
"1713","open","close",9.02930867188843
"1813","open","space",8.97855676284235
"1913","open","education",8.79362107762427
"2013","open","agreement",7.79948696428619
"214","risk","manage",24.4288914331119
"314","risk","spread",21.7121793594997
"414","risk","control",21.7121793594997
"514","risk","level",20.3647471545992
"614","risk","health",17.1277110294177
"714","risk","safe",16.1659592404176
"814","risk","potential",15.4209616241424
"914","risk","rathe",13.1517665334104
"1014","risk","significant",12.6707861047471
"1114","risk","ongoing",12.3896078746329
"1214","risk","weapon",12.3896078746329
"1314","risk","border",11.7624316056463
"1414","risk","security",11.3703695074946
"1514","risk","covid",11.166586938285
"1614","risk","people",11.1036432211986
"1714","risk","travel",10.2992581679719
"1814","risk","information",9.79573575583345
"1914","risk","country",9.75167737899756
"2014","risk","act",9.58507270045811
"215","job","business",97.4332244912803
"315","job","support",86.0379169724765
"415","job","lose",41.5449895027559
"515","job","infrastructure",37.2404652416153
"615","job","economy",35.5176692122332
"715","job","wage",32.7340856611263
"815","job","investment",30.0718016259343
"915","job","protect",29.7125667560613
"1015","job","worker",29.146009619275
"1115","job","focus",27.3992470991798
"1215","job","growth",26.0580785381608
"1315","job","scheme",25.9255657483591
"1415","job","environment",25.6201579849294
"1515","job","project",24.869155440334
"1615","job","recovery",24.536811454338
"1715","job","budget",23.5401807771559
"1815","job","invest",22.7907844233996
"1915","job","subsidy",22.0359827636421
"2015","job","billion",20.3096934299683
"216","interest","tax",23.9695203791198
"316","interest","low",20.6176723509416
"416","interest","policy",20.1268613747816
"516","interest","share",17.7250351811963
"616","interest","official",17.6193427016551
"716","interest","relationship",17.0372399881162
"816","interest","zealand's",16.7983440599055
"916","interest","free",16.6009780976601
"1016","interest","rule",14.8002961004531
"1116","interest","promote",13.5231146806327
"1216","interest","shift",13.5231146806327
"1316","interest","range",12.6658890561521
"1416","interest","law",12.039443979229
"1516","interest","advice",11.9047323949053
"1616","interest","issue",11.8481330661889
"1716","interest","security",10.6378600479511
"1816","interest","world",10.568477718436
"1916","interest","covid",10.2862639875384
"2016","interest","agreement",10.0958053954528
"217","pandemic","covid-19",93.9842253526731
"317","pandemic","world",36.4743279226241
"417","pandemic","response",33.5406989148614
"517","pandemic","economic",27.1355665740411
"617","pandemic","impact",25.1680538930232
"717","pandemic","health",22.7494609701971
"817","pandemic","strategy",22.0587719419709
"917","pandemic","export",15.3930799257068
"1017","pandemic","march",15.3799957919691
"1117","pandemic","spread",12.737542538729
"1217","pandemic","bring",12.5927457135549
"1317","pandemic","live",11.7569399197091
"1417","pandemic","zealand",11.7323478543549
"1517","pandemic","covid",10.1815986029833
"1617","pandemic","continue",9.91376090185076
"1717","pandemic","result",8.54824801659561
"1817","pandemic","show",8.19751331066072
"1917","pandemic","challenge",8.08709506124433
"2017","pandemic","economy",7.71419033590064
"218","today","koutou",28.8621348167799
"318","today","speak",26.9803355909971
"418","today","acknowledge",24.4931308640516
"518","today","minister",18.5998237706808
"618","today","talk",14.4549256881874
"718","today","event",13.7964331128023
"818","today","set",13.7290361019113
