,authors_institution,authors,policy_document_id,overton_url,policy_doc_title,policy_doc_description,published_date,policy_doc_area,policy_doc_source,citing_paper_text,citing_paper_doi,scholarly_titles
0,Te Wānanga o Raukawa,K McBreen,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,,10.1080/03036758.2015.1011171,"Mātauranga Māori, tino rangatiratanga and the future of New Zealand science"
1,Wellington Management Company,D Broughton,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,,10.1080/03036758.2015.1011171,"Mātauranga Māori, tino rangatiratanga and the future of New Zealand science"
2,"University of California, Los Angeles",Arpana Gupta,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
3,State University of New York,Alex L. Pieterse,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
4,University of Melbourne,Margaret Kelaher,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
5,"University of California, Los Angeles",Gilbert C. Gee,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
6,Australian National University,Naomi Priest,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
7,Deakin University,Amanuel Elias,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
8,Western Sydney University,Nida Denson,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
9,Deakin University,Jehonathan Ben,healthnz-709642b7235515237e9518d380988f82,http://app.overton.io/document.php?policy_document_id=healthnz-709642b7235515237e9518d380988f82,Whakamaua: Māori Health Action Plan 2020-2025,"Whakamaua: Māori Health Action Plan 2020-2025 is the implementation plan for He Korowai Oranga, the Māori Health Strategy. It sets the government’s direction for Māori health advancement over the next five years.",2020-08-03,"['health>health treatment', 'health', 'education', 'science and technology', 'politics', 'health>health treatment>medicine']",New Zealand Ministry of Health,"Despite a growing body of epidemiological evidence in recent years documenting the health impacts of racism, the cumulative evidence base has yet to be synthesized in a comprehensive meta-analysis focused specifically on racism as a determinant of health. This meta-analysis reviewed the literature focusing on the relationship between reported racism and mental and physical health outcomes. Data from 293 studies reported in 333 articles published between 1983 and 2013, and conducted predominately in the U.S., were analysed using random effects models and mean weighted effect sizes. Racism was associated with poorer mental health (negative mental health: r = -.23, 95% CI [-.24,-.21], k = 227; positive mental health: r = -.13, 95% CI [-.16,-.10], k = 113), including depression, anxiety, psychological stress and various other outcomes. Racism was also associated with poorer general health (r = -.13 (95% CI [-.18,-.09], k = 30), and poorer physical health (r = -.09, 95% CI [-.12,-.06], k = 50). Moderation effects were found for some outcomes with regard to study and exposure characteristics. Effect sizes of racism on mental health were stronger in cross-sectional compared with longitudinal data and in non-representative samples compared with representative samples. Age, sex, birthplace and education level did not moderate the effects of racism on health. Ethnicity significantly moderated the effect of racism on negative mental health and physical health: the association between racism and negative mental health was significantly stronger for Asian American and Latino(a) American participants compared with African American participants, and the association between racism and physical health was significantly stronger for Latino(a) American participants compared with African American participants. Protocol PROSPERO registration number: CRD42013005464.",10.1371/journal.pone.0138511,Racism as a Determinant of Health: A Systematic Review and Meta-Analysis
